OID_,World Port Index Number,Region Name,Main Port Name,Alternate Port Name,UN/LOCODE,Country Code,World Water Body,IHO S-130 Sea Area,Sailing Direction or Publication,Publication Link,Standard Nautical Chart,IHO S-57 Electronic Navigational Chart,IHO S-101 Electronic Navigational Chart,Digital Nautical Chart,Tidal Range (m),Entrance Width (m),Channel Depth (m),Anchorage Depth (m),Cargo Pier Depth (m),Oil Terminal Depth (m),Liquified Natural Gas Terminal Depth (m),Maximum Vessel Length (m),Maximum Vessel Beam (m),Maximum Vessel Draft (m),Offshore Maximum Vessel Length (m),Offshore Maximum Vessel Beam (m),Offshore Maximum Vessel Draft (m),Harbor Size,Harbor Type,Latitude,Longitude
10,56630,Caroline Islands -- 56560,Colonia,Tomil Harbor; Yap Colonia International Port, ,Federated States of Micronesia,North Pacific Ocean, ,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub126bk.pdf&type=view,81187, , ,"a1256630, gen12c, h1256630",1,0,23.2,23.2,7.9,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),9.516667,138.133333
11,56600,Caroline Islands -- 56560,Moen,Chuuk; Weno, ,Federated States of Micronesia,North Pacific Ocean, ,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub126bk.pdf&type=view,81327, , ,"a1256600, coa12g, gen12c",1,0,7.9,0,7.9,7.9,0,0,0,0,0,0,0,Very Small,Open Roadstead,7.433333,151.833333
12,56570,Caroline Islands -- 56560,Lele Harbor, , ,Federated States of Micronesia,North Pacific Ocean, ,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub126bk.pdf&type=view,81488, , ,"a1256570, gen12c, h1256570",1,0,14,12.5,7.9,7.9,0,0,0,0,0,0,0,Very Small,Coastal (Natural),5.333333,163.033333
13,44804,Turkey Asia -- 44360,Delta Terminal, , ,Turkey,Mediterranean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view,54481, , ,"a1044880, coa10d, gen10b",0,0,0,23.2,0,6.4,0,0,0,0,0,0,0,Very Small,Open Roadstead,36.85,36.166667
14,50350,Indonesia -- 50020,Cinta Oil Terminal, , ,Indonesia,"Indian Ocean, Java Sea; South Pacific Ocean", ,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub163bk.pdf&type=view,71180, , ,"coa04a, gen04c",0,0,23.2,23.2,0,23.2,0,0,0,0,0,0,0,Very Small,Open Roadstead,-5.5,106.233333
15,4000,Canada Lake Huron -- 3640,Port Severn, , ,Canada,Lake Huron; Great Lakes, ,U.S. Coast Pilot 6 - Great Lakes and their connecting waterways,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp6/CPB6_WEB.pdf, , , ,h1802740,0,0,1.8,1.8,1.8,0,0,0,0,0,0,0,0,Very Small,River (Natural),44.8,-79.716667
16,38330,Gibraltar -- 38320,Europa Point, , ,Gibraltar,Strait of Gibraltar; North Atlantic Ocean, ,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub131bk.pdf&type=view,52045, , ,"a0838320, coa08o, gen08b, h0838320",1,0,12.5,18.6,7.9,9.4,0,0,0,0,0,0,0,Medium,Coastal (Breakwater),36.133333,-5.35
17,56945,Papua New Guinea -- 56695,Queen Carola Harbor, , ,Papua New Guinea,Solomon Sea; South Pacific Ocean, ,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub126bk.pdf&type=view,82244, , ,"coa05g, gen05a",2,0,17.1,11,1.8,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),-5.166667,154.55
18,7010,United States E Coast -- 6585,New Harbor, , ,United States,North Atlantic Ocean, ,U.S. Coast Pilot 1 - Atlantic Coast: Eastport ME to Cape Cod MA,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp1/CPB1_WEB.pdf,13301, , ,"a1807100, coa18a, gen18a",2.7,0,6.4,6.4,1.8,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),43.866667,-69.483333
19,5980,Cape Breton Island -- 5860,Little Bras D Or, , ,Canada,North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view, , , ,"a1805860, coa18b, gen18b, h1805980",3,0,3.4,6.4,3.4,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),46.25,-60.3
20,20940,Norway -- 20620,Bredvik, , ,Norway,Norwegian Sea; North Atlantic Ocean, ,Sailing Directions Pub. 182 (Enroute) - North and West Coasts of Norway,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub182bk.pdf&type=view,43100, , ,"a2220950, coa22g, gen22c",0,0,0,6.4,4.9,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),70.583333,22.133333
21,12900,Brazil SE Coast -- 12700,Dtse / Gegua Oil Terminal, , ,Brazil,South Atlantic Ocean, ,Sailing Directions Pub. 124 (Enroute) - East Coast of South America,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub124bk.pdf&type=view,24162, , ,"a0112920, coa01f, gen01c, h0112920",1,0,11,14,0,7.9,0,0,0,0,0,0,0,Medium,Open Roadstead,-22.816667,-43.15
22,48104,Saudi Arabia -- 48100,Sharmah,Ash Sharmah, ,Saudi Arabia,Red Sea; Indian Ocean, ,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub172bk.pdf&type=view,62220, , ,"coa10f, gen10c",0,0,23.2,0,0,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),27.933333,35.25
23,9210,US Gulf Coast -- 8650,Norsworthy, , ,United States,Gulf of Mexico; North Atlantic Ocean, ,U.S. Coast Pilot 5 - Gulf of Mexico Puerto Rico and Virgin Islands,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp5/CPB5_WEB.pdf,11325, , ,"coa15a, gen15, h1509150",0.3,0,11,9.4,9.4,0,0,0,0,0,0,0,0,Very Small,River (Natural),29.733333,-95.2
24,4240,Canada Lake Huron -- 3640,Hilton,Marksville, ,Canada,Lake Huron; Great Lakes, ,U.S. Coast Pilot 6 - Great Lakes and their connecting waterways,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp6/CPB6_WEB.pdf, , , ,gen28a,0,0,3.4,9.4,3.4,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),46.25,-83.883333
25,4160,Canada Lake Huron -- 3640,Kagawong, , ,Canada,Lake Huron; Great Lakes, ,U.S. Coast Pilot 6 - Great Lakes and their connecting waterways,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp6/CPB6_WEB.pdf, , , ,"coa28o, gen28a",0,0,6.4,11,4.9,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),45.916667,-82.25
26,5520,South Side -- 5501,Douglastown, , ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view, , , ,"a1805510, coa18c, gen18b",0,0,1.8,18.6,6.4,0,0,0,0,0,0,0,0,Very Small,Open Roadstead,48.766667,-64.383333
27,6750,United States E Coast -- 6585,Minturn, , ,United States,North Atlantic Ocean, ,U.S. Coast Pilot 1 - Atlantic Coast: Eastport ME to Cape Cod MA,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp1/CPB1_WEB.pdf,13313, , ,"a1806700, coa18b, gen18a",3,0,1.8,9.4,0,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),44.15,-68.45
28,6820,United States E Coast -- 6585,Criehaven, , ,United States,North Atlantic Ocean, ,U.S. Coast Pilot 1 - Atlantic Coast: Eastport ME to Cape Cod MA,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp1/CPB1_WEB.pdf,13303, , ,"a1806920, coa18a, gen18a",2.7,0,1.8,1.8,1.8,0,0,0,0,0,0,0,0,Very Small,Coastal (Breakwater),43.833333,-68.883333
29,29800,Aero -- 29780,Aeroskobing, , ,Denmark,Baltic Sea; North Atlantic Ocean, ,Sailing Directions Pub. 194 (Enroute) - Baltic Sea (Southern Part),https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub194bk.pdf&type=view,44067, , ,"a2130170, coa21d, gen21a",0,0,3.4,6.4,4.9,0,0,0,0,0,0,0,0,Very Small,Coastal (Breakwater),54.883333,10.416667
30,43950,Ukraine -- 43620,Kyrylivka, , ,Ukraine,Sea of Azov; Black Sea; North Atlantic Ocean, ,Admiralty Sailing Directions - NP24 - Black Sea and Sea of Azov Pilot (United Kingdom Hydrographic Office),https://msi.geo.nga.mil/Publications/SDEnroute, , , ,"coa10a, gen10b",0,0,4.9,4.9,1.8,0,0,0,0,0,0,0,0,Very Small,Open Roadstead,46.35,35.366667
31,46691,Ascension -- 46660,North Point, , ,"Saint Helena, Ascension, and Tristan da Cunha",South Atlantic Ocean, ,Sailing Directions Pub. 123 (Enroute) - Southwest Coast of Africa,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub123bk.pdf&type=view,57487, , ,"a0146670, gen01b",0,0,0,3.4,0,11,0,0,0,0,0,0,0,Small,Open Roadstead,-7.883333,-14.366667
32,57433,Thailand -- 57431,Bongkot Terminal, , ,Thailand,Gulf of Thailand; South China Sea; North Pacific Ocean, ,Sailing Directions Pub. 161 (Enroute) - South China Sea and Gulf of Thailand,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub161bk.pdf&type=view,93180, , ,"coa03d, gen03a",0,0,23.2,23.2,0,23.2,0,0,0,0,0,0,0,Very Small,Open Roadstead,8.05,102.333333
33,52350,Sulawesi -- 51970,Donggala, , ,Indonesia,Makassar Strait; South Pacific Ocean, ,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub163bk.pdf&type=view,72171, , ,"coa04c, gen04c",4,0,23.2,23.2,1.8,1.8,0,0,0,0,0,0,0,Very Small,Open Roadstead,-0.65,119.733333
34,3790,Canada Lake Huron -- 3640,Lions Head, , ,Canada,Lake Huron; Great Lakes, ,U.S. Coast Pilot 6 - Great Lakes and their connecting waterways,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp6/CPB6_WEB.pdf, , , ,h1802740,0,0,3.4,3.4,3.4,0,0,0,0,0,0,0,0,Very Small,Coastal (Breakwater),44.983333,-81.25
35,4150,Canada Lake Huron -- 3640,Honora, , ,Canada,Lake Huron; Great Lakes, ,U.S. Coast Pilot 6 - Great Lakes and their connecting waterways,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp6/CPB6_WEB.pdf, , , ,"coa28o, gen28a",0,0,6.4,7.9,1.8,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),45.866667,-82.166667
36,23300,Norway -- 20620,Meling, , ,Norway,North Sea; North Atlantic Ocean, ,Sailing Directions Pub. 182 (Enroute) - North and West Coasts of Norway,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub182bk.pdf&type=view, , , ,"a2123330, coa21f, gen21a",0,0,0,12.5,1.8,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),59.783333,5.116667
37,23107,Norway -- 20620,Bud, , ,Norway,Norwegian Sea; North Atlantic Ocean, ,Sailing Directions Pub. 182 (Enroute) - North and West Coasts of Norway,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub182bk.pdf&type=view,43260, , ,"a2123110, coa21g, gen21b",0,0,0,4.9,4.9,0,0,0,0,0,0,0,0,Very Small,Coastal (Breakwater),62.9,6.916667
38,23455,Norway -- 20620,Espevaer, , ,Norway,North Sea; North Atlantic Ocean, ,Sailing Directions Pub. 182 (Enroute) - North and West Coasts of Norway,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub182bk.pdf&type=view, , , ,"a2123440, coa21f, gen21a, h2123455",0,0,0,12.5,6.4,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),59.583333,5.15
39,20350,Alaska Continued -- 20185,Hamilton, , ,United States,Bering Sea; North Pacific Ocean, ,U.S. Coast Pilot 9 - Alaska: Cape Spencer to Beaufort Sea - Beaufort Sea,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp9/CPB9_WEB.pdf,16240, , ,"coa25f, gen25b",0.6,0,0,0,0,0,0,0,0,0,0,0,0,Very Small,River (Natural),62.9,-163.916667
40,5150,Canada Lake Superior -- 5120,Gargantua, , ,Canada,Lake Superior; Great Lakes, ,U.S. Coast Pilot 6 - Great Lakes and their connecting waterways,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp6/CPB6_WEB.pdf, , , ,gen28a,0,0,3.4,12.5,1.8,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),47.566667,-84.966667
41,42415,Greece East Coast -- 42010,Larimna,Larmes, ,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view,54282, , ,"a0942415, coa09d, gen09, h0942415",2,0,11,9.4,11,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),38.566667,23.283333
42,31895,Scotland East Coast -- 31870,Bird Port, , ,United Kingdom,Bristol Channel; North Atlantic Ocean, ,Sailing Directions Pub. 142 (Enroute) - Ireland and the West Coast of England,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub142bk.pdf&type=view,36042, , ,"gen20b, h2035015",6,0,1.8,4.9,9.4,0,0,0,0,0,0,0,0,Very Small,River (Natural),51.566667,-2.966667
43,38420,Spain SE Coast -- 38340,Hornillo, , ,Spain,Mediterranean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub131bk.pdf&type=view,52060, , ,"a0838430, coa08o, gen08b",1,0,14,23.2,4.9,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),37.4,-1.55
44,40245,Italy -- 39125,Melilli Oil Terminal, , ,Italy,Mediterranean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub131bk.pdf&type=view,53212, , ,"a0940250, coa09b, gen09",1,0,21.6,23.2,0,17.1,0,0,0,0,0,0,0,Very Small,Open Roadstead,37.116667,15.25
45,43940,Ukraine -- 43620,Henichesk, , ,Ukraine,Sea of Azov; Black Sea; North Atlantic Ocean, ,Admiralty Sailing Directions - NP24 - Black Sea and Sea of Azov Pilot (United Kingdom Hydrographic Office),https://msi.geo.nga.mil/Publications/SDEnroute, , , ,"coa10a, gen10b",1,0,4.9,4.9,1.8,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),46.166667,34.816667
46,48464,Iran -- 48410,Barkan Oil-loading Terminal,Bahregan Oil Center, ,Iran,Persian Gulf; Indian Ocean, ,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub172bk.pdf&type=view, , , ,"a1048463, coa10n, gen10a",2,0,17.1,23.2,0,15.5,0,0,0,0,0,0,0,Very Small,Open Roadstead,29.733333,50.166667
47,57415,Malaysia -- 57400,Kirteh Oil Terminal, , ,Malaysia,South China Sea; North Pacific Ocean, ,Sailing Directions Pub. 161 (Enroute) - South China Sea and Gulf of Thailand,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub161bk.pdf&type=view,93117, , ,"a0357415, coa03b, gen03a, h0357415",0,0,11,21.6,0,11,0,0,0,0,0,0,0,Small,Open Roadstead,4.566667,103.466667
48,47942,Sudan -- 47910,Al Khair Oil Terminal, , ,Sudan,Red Sea; Indian Ocean, ,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub172bk.pdf&type=view,62142, , ,"a1047940, coa10g, gen10c",0,0,0,0,0,14,0,0,0,0,0,0,0,Small,Coastal (Natural),19.583333,37.25
49,18915,Canada West Coast -- 18080,Bella Bella, , ,Canada,Alaska-Canada coastal waters; North Pacific Ocean, ,Sailing Directions Pub. 154 (Enroute) - British Columbia,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub154bk.pdf&type=view, , , ,"a2618890, coa26b, gen26b",3,0,23.2,23.2,6.4,6.4,0,0,0,0,0,0,0,Very Small,Coastal (Natural),52.166667,-128.15
50,5970,Cape Breton Island -- 5860,Grand Narrows, , ,Canada,North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view, , , ,"a1805860, coa18b, gen18b",0,0,7.9,12.5,3.4,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),45.95,-60.783333
51,6670,United States E Coast -- 6585,Corea, , ,United States,North Atlantic Ocean, ,U.S. Coast Pilot 1 - Atlantic Coast: Eastport ME to Cape Cod MA,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp1/CPB1_WEB.pdf,13324, , ,"a1806700, coa18b, gen18a",3.4,0,1.8,1.8,1.8,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),44.4,-67.966667
52,58630,Philippine Islands -- 57960,Laoang, , ,Philippines,Philippine inland seas; North Pacific Ocean, ,Sailing Directions Pub. 162 (Enroute) - Philippine Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub162bk.pdf&type=view, , , ,"a1158635, coa11f, gen11a",4,0,3.4,12.5,1.8,0,0,0,0,0,0,0,0,Very Small,River (Natural),12.566667,125.016667
53,59550,Philippine Islands -- 57960,Margosatubig, , ,Philippines,Celebes Sea; North Pacific Ocean, ,Sailing Directions Pub. 162 (Enroute) - Philippine Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub162bk.pdf&type=view,92190, , ,"coa11h, gen11b",5,0,17.1,23.2,3.4,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),7.583333,123.166667
54,60720,Russia -- 60530,Bukhta Gaydamak,Gaydamak, ,Russia,Sea of Japan; North Pacific Ocean, ,Sailing Directions Pub. 155 (Enroute) - East Coast of Russia,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub155bk.pdf&type=view,96043, , ,"a2460730, coa24a, gen24a",0,0,12.5,12.5,3.4,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),42.866667,132.683333
55,19930,Alaska -- 19080,Dry Spruce Bay, , ,United States,Gulf of Alaska; North Pacific Ocean, ,U.S. Coast Pilot 9 - Alaska: Cape Spencer to Beaufort Sea - Beaufort Sea,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp9/CPB9_WEB.pdf,16594, , ,"a2519820, coa25d, gen25b",3.4,0,0,23.2,7.9,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),57.933333,-153.033333
56,20410,Alaska Continued -- 20185,Grantley Harbor, , ,United States,Bering Sea; North Pacific Ocean, ,U.S. Coast Pilot 9 - Alaska: Cape Spencer to Beaufort Sea - Beaufort Sea,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp9/CPB9_WEB.pdf,16204, , ,"a2720410, coa27b, gen27b",0.3,0,1.8,6.4,0,0,0,0,0,0,0,0,0,Very Small,Open Roadstead,65.266667,-166.333333
57,44270,Russia -- 44030,Adler,Mezyumata, ,Russia,Black Sea; North Atlantic Ocean, ,Admiralty Sailing Directions - NP24 - Black Sea and Sea of Azov Pilot (United Kingdom Hydrographic Office),https://msi.geo.nga.mil/Publications/SDEnroute,55170, , ,"coa10a, gen10b",0,0,23.2,9.4,3.4,0,0,0,0,0,0,0,0,Very Small,Open Roadstead,43.433333,39.933333
58,45635,Algeria -- 45470,Arzew El Djedid, , ,Algeria,Mediterranean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub131bk.pdf&type=view,52262, , ,"a0845640, coa08o, gen08b, h0845630",0,0,7.9,23.2,0,12.5,0,0,0,0,0,0,0,Small,Coastal (Breakwater),35.816667,-0.25
59,45822,Senegal -- 45817,Karabane,Carabane, ,Senegal,North Atlantic Ocean, ,Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub143bk.pdf&type=view,51560, , ,"coa01b, gen01a",1,0,3.4,9.4,3.4,7.9,0,0,0,0,0,0,0,Very Small,River (Natural),12.566667,-16.666667
60,46335,Equatorial Guinea -- 46300,Ceiba Terminal, , ,Equatorial Guinea,Gulf of Guinea; North Atlantic Ocean, ,Sailing Directions Pub. 123 (Enroute) - Southwest Coast of Africa,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub123bk.pdf&type=view,57170, , ,"coa01h, gen01b",1,0,0,23.2,0,23.2,0,0,0,0,0,0,0,Very Small,Open Roadstead,1.416667,9.233333
61,46710,Tristan Island -- 46700,Edinburgh Of The Seven Seas,Settlement Of Edinburgh, ,"Saint Helena, Ascension, and Tristan da Cunha",South Atlantic Ocean, ,Sailing Directions Pub. 123 (Enroute) - Southwest Coast of Africa,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub123bk.pdf&type=view,57486, , ,"coa01l, gen01c, h0146710",2,0,23.2,23.2,0,0,0,0,0,0,0,0,0,Very Small,Open Roadstead,-37.05,-12.3
62,14175,Chile -- 14070,Caleta Mina Elena,Mina Elena, ,Chile,South Pacific Ocean, ,Sailing Directions Pub. 124 (Enroute) - East Coast of South America,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub124bk.pdf&type=view,22410, , ,"coa07h, gen07a",0,0,0,7.9,0,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),-52.683333,-71.9
